coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,1.057687784026631e-20,17,1.0e-6,1
3.593198293403746e-19,0.0,17,1.0e-6,1
0.0,-1.1487657661051728e-17,17,1.0e-6,1
-3.442704100022113e-16,0.0,17,1.0e-6,1
0.0,9.62808382240086e-15,17,1.0e-6,1
2.499859089724203e-13,0.0,17,1.0e-6,1
0.0,-5.990033731515689e-12,17,1.0e-6,1
-1.3153075618437267e-10,0.0,17,1.0e-6,1
0.0,2.6246250899559383e-9,17,1.0e-6,1
4.71117208630225e-8,0.0,17,1.0e-6,1
0.0,-7.51162908718404e-7,17,1.0e-6,1
-1.0469169001194636e-5,0.0,17,1.0e-6,1
0.0,0.00012487886510561725,17,1.0e-6,1
0.0012383194820549776,0.0,17,1.0e-6,1
0.0,-0.009781676991334204,17,1.0e-6,1
-0.057451742465950244,0.0,17,1.0e-6,1
0.0,0.22002529287246675,17,1.0e-6,1
0.3825988432789833,0.0,17,1.0e-6,1
0.0,0.22002529287246675,17,1.0e-6,1
-0.057451742465950244,0.0,17,1.0e-6,1
0.0,-0.009781676991334204,17,1.0e-6,1
0.0012383194820549776,0.0,17,1.0e-6,1
0.0,0.00012487886510561725,17,1.0e-6,1
-1.0469169001194636e-5,0.0,17,1.0e-6,1
0.0,-7.51162908718404e-7,17,1.0e-6,1
4.71117208630225e-8,0.0,17,1.0e-6,1
0.0,2.6246250899559383e-9,17,1.0e-6,1
-1.3153075618437267e-10,0.0,17,1.0e-6,1
0.0,-5.990033731515689e-12,17,1.0e-6,1
2.499859089724203e-13,0.0,17,1.0e-6,1
0.0,9.62808382240086e-15,17,1.0e-6,1
-3.442704100022113e-16,0.0,17,1.0e-6,1
0.0,-1.1487657661051728e-17,17,1.0e-6,1
3.593198293403746e-19,0.0,17,1.0e-6,1
0.0,1.057687784026631e-20,17,1.0e-6,1
