coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-0.0,1117,1.0e-14,400
-0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,0.0,1117,1.0e-14,400
0.0,-2.0e-323,1117,1.0e-14,400
-9.4e-323,0.0,1117,1.0e-14,400
0.0,4.74e-322,1117,1.0e-14,400
2.396e-321,0.0,1117,1.0e-14,400
0.0,-1.2134e-320,1117,1.0e-14,400
-6.1363e-320,0.0,1117,1.0e-14,400
