coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,0.0,2205,1.0e-14,800
0.0,-0.0,2205,1.0e-14,800
-0.0,0.0,2205,1.0e-14,800
