"C","S","n"
5.030893798299957e-14,0,1212
0,0,1212
-3.810902052213228e-14,0,1212
0,0,1212
5.250708483815302e-14,0,1212
0,0,1212
-7.049884963785947e-14,0,1212
0,0,1212
9.274633037678334e-14,0,1212
0,0,1212
-1.2000681020908557e-13,0,1212
0,0,1212
1.5314389440682946e-13,0,1212
0,0,1212
-1.931396173811536e-13,0,1212
0,0,1212
2.4110812293750986e-13,0,1212
0,0,1212
-2.983080317441049e-13,0,1212
0,0,1212
3.6627955074183215e-13,0,1212
0,0,1212
-4.4629966656118275e-13,0,1212
0,0,1212
5.295656592937606e-13,0,1212
0,0,1212
-6.415063677623603e-13,0,1212
0,0,1212
2.2043708744585803e-12,0,1212
0,0,1212
1.1021854372292902e-12,0,1212
0,0,1212
-4.232392078960474e-10,0,1212
0,0,1212
5.643189438613966e-10,0,1212
0,0,1212
-3.230725953606495e-8,0,1212
0,0,1212
7.364362217391225e-8,0,1212
0,0,1212
-0.00001618015275839396,0,1212
0,0,1212
0.000010257061123624744,0,1212
0,0,1212
-0.00151631145850092,0,1212
0,0,1212
0.00046229007881125604,0,1212
0,0,1212
-0.13254781139676333,0,1212
0,0,1212
0.12781396098973608,0,1212
0,0,1212
-15.754254154586729,0,1212
0,0,1212
13.93645559828826,0,1212
0,0,1212
-1706.3069115121625,0,1212
0,0,1212
1357.2895887028567,0,1212
0,0,1212
-79420.8307903843,0,1212
0,0,1212
44674.21731959117,0,1212
0,0,1212
-8.259766402199967e6,0,1212
0,0,1212
4.765249847423058e6,0,1212
0,0,1212
-4.066346536467676e8,0,1212
0,0,1212
3.6597118828209084e8,0,1212
0,0,1212
-1.3012308916696564e10,0,1212
0,0,1212
1.8217232483375187e10,0,1212
0,0,1212
-1.7076190230576504e12,0,1212
0,0,1212
6.684514583304094e11,0,1212
0,0,1212
-8.199055848410505e13,0,1212
0,0,1212
2.196347622049213e13,0,1212
0,0,1212
-1.528332116730978e15,0,1212
0,0,1212
9.971800765985578e14,0,1212
0,0,1212
-1.4335142323137362e17,0,1212
0,0,1212
9.308035601251893e16,0,1212
0,0,1212
-9.572907415979225e18,0,1212
0,0,1212
5.195785553028633e18,0,1212
0,0,1212
-2.3542584623470916e20,0,1212
0,0,1212
3.143668569899677e20,0,1212
0,0,1212
-1.8152240915616268e22,0,1212
0,0,1212
1.52460939709979e22,0,1212
0,0,1212
-9.786114511354899e23,0,1212
0,0,1212
8.012023576547871e23,0,1212
0,0,1212
-4.761431154062735e25,0,1212
0,0,1212
3.0583038566479872e25,0,1212
0,0,1212
-2.7894661284109063e27,0,1212
0,0,1212
1.2306468213577528e27,0,1212
0,0,1212
-9.001302464788136e28,0,1212
0,0,1212
6.600955140844632e28,0,1212
0,0,1212
-2.3043334309857626e30,0,1212
0,0,1212
2.1603125915491523e30,0,1212
0,0,1212
-1.4440489500844113e32,0,1212
0,0,1212
8.756467037745898e31,0,1212
0,0,1212
-3.834410829160309e33,0,1212
0,0,1212
1.7697280749970658e33,0,1212
0,0,1212
-1.1011641355537299e35,0,1212
0,0,1212
7.865458111098069e34,0,1212
0,0,1212
-3.020335914661659e36,0,1212
0,0,1212
1.3088122296867189e36,0,1212
0,0,1212
-1.3531104897684232e38,0,1212
0,0,1212
6.765552448842116e37,0,1212
0,0,1212
-1.649506120860554e39,0,1212
0,0,1212
1.9587885185219078e39,0,1212
0,0,1212
-1.0556839173507545e41,0,1212
0,0,1212
4.948518362581662e40,0,1212
0,0,1212
-9.971480357423163e41,0,1212
0,0,1212
9.720373270540085e41,0,1212
0,0,1212
-4.895118423415935e43,0,1212
0,0,1212
2.654853867076078e43,0,1212
0,0,1212
-1.150240059031928e45,0,1212
0,0,1212
3.532713894402978e44,0,1212
0,0,1212
-3.9837465781697266e46,0,1212
0,0,1212
2.0646071609543442e46,0,1212
0,0,1212
-5.277343251019788e47,0,1212
0,0,1212
2.239203371423795e47,0,1212
0,0,1212
-8.371858921522735e48,0,1212
0,0,1212
6.507652872834188e48,0,1212
0,0,1212
-3.801168008739099e50,0,1212
0,0,1212
1.3954440131630485e50,0,1212
0,0,1212
-7.679931656863733e51,0,1212
0,0,1212
2.3067382609447692e51,0,1212
0,0,1212
-1.8213622769052461e53,0,1212
0,0,1212
1.222022742640104e52,0,1212
0,0,1212
-2.8261502583286468e54,0,1212
0,0,1212
1.2270129400455985e54,0,1212
0,0,1212
-1.528182467393977e55,0,1212
0,0,1212
1.7469541385658243e55,0,1212
0,0,1212
7.747627571222747e56,0,1212
0,0,1212
1.0852888541283597e55,0,1212
0,0,1212
4.5408021362033614e57,0,1212
0,0,1212
-1.4857430302505887e56,0,1212
0,0,1212
9.883162637226916e58,0,1212
0,0,1212
-2.317759127190918e57,0,1212
0,0,1212
-3.803502157441507e60,0,1212
0,0,1212
1.4405764421309707e60,0,1212
0,0,1212
-1.2591113541994365e62,0,1212
0,0,1212
3.693961295307191e61,0,1212
0,0,1212
-3.6026772435285953e62,0,1212
0,0,1212
1.9415509252962212e63,0,1212
0,0,1212
3.421180206178938e64,0,1212
0,0,1212
9.596753219518334e63,0,1212
0,0,1212
-4.9853263478017316e64,0,1212
0,0,1212
-2.283279467293193e65,0,1212
0,0,1212
4.594476762134076e66,0,1212
0,0,1212
6.764090788697389e66,0,1212
0,0,1212
1.4396027188020105e68,0,1212
0,0,1212
9.393152491474111e67,0,1212
0,0,1212
4.083979344119179e69,0,1212
0,0,1212
-8.00459951447359e68,0,1212
0,0,1212
-9.932237764897842e69,0,1212
0,0,1212
-4.391094590796941e70,0,1212
0,0,1212
1.2545984545134118e72,0,1212
0,0,1212
-2.258277218124141e71,0,1212
0,0,1212
2.970889140287759e73,0,1212
0,0,1212
