"C","S","n"
1.338528500434287e94,0,932
0,0,932
-1.717193367098968e94,0,932
0,0,932
6.788562022676963e94,0,932
0,0,932
-9.983651277146822e94,0,932
0,0,932
4.247998165273399e95,0,932
0,0,932
-4.6030674983224344e95,0,932
0,0,932
2.1389718858375625e96,0,932
0,0,932
-2.7344616588547396e96,0,932
0,0,932
9.035017245777864e96,0,932
0,0,932
-1.3292426887348947e97,0,932
0,0,932
3.833037619420912e97,0,932
0,0,932
-6.31903630401676e97,0,932
0,0,932
2.6371298821615874e98,0,932
0,0,932
-3.329266960868449e98,0,932
0,0,932
1.2108018262947885e99,0,932
0,0,932
-1.5472330139193898e99,0,932
0,0,932
4.836198322103642e99,0,932
0,0,932
-6.714605786340999e99,0,932
0,0,932
2.343803940451388e100,0,932
0,0,932
-3.2633825199586313e100,0,932
0,0,932
1.1034942954086918e101,0,932
0,0,932
-1.421982486359981e101,0,932
0,0,932
5.203469035260498e101,0,932
0,0,932
-5.382899001993619e101,0,932
0,0,932
1.8947804487017538e102,0,932
0,0,932
-3.315865785228069e102,0,932
0,0,932
7.579121794807015e102,0,932
0,0,932
-1.1598353049628918e103,0,932
0,0,932
3.077582789406485e103,0,932
0,0,932
-4.08813236204742e103,0,932
0,0,932
1.800615602160212e104,0,932
0,0,932
-2.2415826884035292e104,0,932
0,0,932
6.688000808023644e104,0,932
0,0,932
-8.084396581127483e104,0,932
0,0,932
2.6752003232094577e105,0,932
0,0,932
-2.7633937404581213e105,0,932
0,0,932
7.99620316387882e105,0,932
0,0,932
-1.199430474581823e106,0,932
0,0,932
3.198481265551528e106,0,932
0,0,932
-5.64437870391446e106,0,932
0,0,932
1.8062011852526274e107,0,932
0,0,932
-5.64437870391446e106,0,932
0,0,932
2.4082682470035032e107,0,932
0,0,932
-6.020670617508758e107,0,932
0,0,932
2.2276481284782405e108,0,932
0,0,932
-3.431782251979992e108,0,932
0,0,932
1.6857877729024522e108,0,932
0,0,932
-6.261497442209109e108,0,932
0,0,932
2.5045989768836435e109,0,932
0,0,932
-4.431213574486446e109,0,932
0,0,932
7.70645839041121e109,0,932
0,0,932
-7.70645839041121e109,0,932
0,0,932
1.695420845890466e110,0,932
0,0,932
-6.165166712328968e109,0,932
0,0,932
7.398200054794762e110,0,932
0,0,932
-4.9321333698631746e110,0,932
0,0,932
1.2330333424657936e111,0,932
0,0,932
1.9728533479452698e111,0,932
0,0,932
2.1701386827397966e112,0,932
0,0,932
-5.918560043835808e111,0,932
0,0,932
-2.761994687123379e112,0,932
0,0,932
-6.707701383013916e112,0,932
0,0,932
3.1565653567124116e112,0,932
0,0,932
-3.1565653567124108e112,0,932
0,0,932
6.944443784767323e113,0,932
0,0,932
-1.8939392140274307e113,0,932
0,0,932
2.525252285369602e113,0,932
0,0,932
-2.0202018282959205e114,0,932
0,0,932
5.050504570739482e114,0,932
0,0,932
2.0202018282963812e114,0,932
0,0,932
1.010100914147518e115,0,932
0,0,932
-2.020201828295482e115,0,932
0,0,932
3.232322925268637e115,0,932
0,0,932
-1.1313130238452344e116,0,932
0,0,932
2.9090906327412472e116,0,932
0,0,932
1.2929291701144303e116,0,932
0,0,932
-6.464645850594256e116,0,932
0,0,932
-9.050504190718143e116,0,932
0,0,932
-2.068686672218071e117,0,932
0,0,932
1.0343433361307692e117,0,932
0,0,932
1.0343433360501407e118,0,932
0,0,932
4.137373344723649e117,0,932
0,0,932
3.309898675169567e118,0,932
0,0,932
3.0829699712908863e108,0,932
0,0,932
1.4067069368322408e119,0,932
0,0,932
2.4349960244512426e109,0,932
0,0,932
2.647918938504287e119,0,932
0,0,932
-6.619797332529358e118,0,932
0,0,932
-1.3239594839317972e119,0,932
0,0,932
-1.1915635218340982e120,0,932
0,0,932
-5.2958379772617714e119,0,932
0,0,932
1.0591675854967462e120,0,932
0,0,932
-4.2366703698034014e120,0,932
0,0,932
3.1775027911859945e120,0,932
0,0,932
1.6946680794350573e121,0,932
0,0,932
-2.1183351117549337e121,0,932
0,0,932
-2.5420024487476514e121,0,932
0,0,932
1.694668374575393e121,0,932
0,0,932
2.5420020218150908e122,0,932
0,0,932
-1.5252011576850462e122,0,932
0,0,932
-1.3557354381187713e122,0,932
0,0,932
-4.7450698585723566e122,0,932
0,0,932
4.067198178902121e122,0,932
0,0,932
-6.77866753311202e122,0,932
0,0,932
-1.0845905014675837e123,0,932
0,0,932
1.0845902881059364e123,0,932
0,0,932
1.0845722391296446e123,0,932
0,0,932
-8.676686643392066e123,0,932
0,0,932
5.206012599748278e124,0,932
0,0,932
7.200435712291238e118,0,932
0,0,932
8.67630980789018e123,0,932
0,0,932
-8.676345359334564e123,0,932
0,0,932
8.676512390487978e124,0,932
0,0,932
-1.0411870762755166e125,0,932
0,0,932
1.3881840180783715e125,0,932
0,0,932
2.7766233342441037e125,0,932
0,0,932
-1.3886722875555367e125,0,932
0,0,932
-2.776187355639044e125,0,932
0,0,932
1.1104411081128748e126,0,932
0,0,932
-1.1104612044092181e126,0,932
0,0,932
4.997022048721586e126,0,932
0,0,932
-2.7758771445981507e126,0,932
0,0,932
2.2180741564000703e126,0,932
0,0,932
-2.665205895859146e127,0,932
0,0,932
-1.283580619910047e124,0,932
0,0,932
1.1158493083140413e124,0,932
0,0,932
1.0656856167106773e128,0,932
0,0,932
-2.661100014038855e127,0,932
0,0,932
1.2419385586919352e128,0,932
0,0,932
-7.091190288863178e127,0,932
0,0,932
9.588410472732247e128,0,932
0,0,932
-1.0599458713069221e128,0,932
0,0,932
2.8163960562526347e128,0,932
0,0,932
-1.3988987245761839e128,0,932
0,0,932
1.412042331328632e129,0,932
0,0,932
-5.605993967700618e128,0,932
0,0,932
4.5158898007741135e129,0,932
0,0,932
-3.9526900156403943e129,0,932
0,0,932
8.985541533526073e129,0,932
0,0,932
4.642672932883978e129,0,932
0,0,932
1.327427375259101e130,0,932
0,0,932
3.0787784792956107e128,0,932
0,0,932
1.2441320503797232e130,0,932
0,0,932
-8.109260237261019e129,0,932
0,0,932
5.2902364194865857e129,0,932
0,0,932
-5.148685196289518e130,0,932
0,0,932
1.520206146153175e131,0,932
0,0,932
-8.147485595674742e130,0,932
0,0,932
-1.081947114126055e131,0,932
0,0,932
-4.0824301113911785e131,0,932
0,0,932
-5.410444069809052e131,0,932
0,0,932
-2.0780986178905178e131,0,932
0,0,932
3.775430914989801e132,0,932
0,0,932
-5.266875117595383e130,0,932
0,0,932
-8.467207200261045e131,0,932
0,0,932
-2.2440400843476106e132,0,932
0,0,932
1.2806062578006302e133,0,932
0,0,932
-6.907372324423133e132,0,932
0,0,932
2.282322048898136e133,0,932
0,0,932
-2.305686211996735e133,0,932
0,0,932
1.8338561000130592e133,0,932
0,0,932
-2.2113895357998053e133,0,932
0,0,932
4.564082023824222e133,0,932
0,0,932
-2.300473325166629e133,0,932
0,0,932
-1.5214498965093103e133,0,932
0,0,932
-1.6893727751644985e134,0,932
0,0,932
1.861356723734777e132,0,932
0,0,932
-1.2293968130291166e134,0,932
0,0,932
5.4193581604644096e134,0,932
0,0,932
1.9108494384863386e134,0,932
0,0,932
1.6905964149553473e134,0,932
0,0,932
-2.248029789468643e134,0,932
0,0,932
5.037608717686252e134,0,932
0,0,932
-1.4694442992546856e135,0,932
0,0,932
3.73040953367787e134,0,932
0,0,932
-1.1898640881187265e135,0,932
0,0,932
2.847516456996508e135,0,932
0,0,932
-4.4837078126067255e135,0,932
0,0,932
-2.8601199490407454e135,0,932
0,0,932
-6.319739868225639e135,0,932
0,0,932
2.084200540616352e135,0,932
0,0,932
-5.4977345090107095e135,0,932
0,0,932
7.01611264535914e135,0,932
0,0,932
-2.369606322324508e135,0,932
0,0,932
1.7827946566881555e136,0,932
0,0,932
-7.754011238547162e135,0,932
0,0,932
2.399091581785017e136,0,932
0,0,932
-1.385897607872473e136,0,932
0,0,932
9.911315802423845e136,0,932
0,0,932
-4.264755379561146e136,0,932
0,0,932
1.1393292391211428e137,0,932
0,0,932
-4.470831767126454e136,0,932
0,0,932
8.695116012380192e136,0,932
0,0,932
-9.765269986236058e136,0,932
0,0,932
3.6620318978035496e137,0,932
0,0,932
-8.101733998429773e136,0,932
0,0,932
5.400481567776804e137,0,932
0,0,932
-3.119511146076892e137,0,932
0,0,932
4.410419029047748e137,0,932
0,0,932
-6.042146301932819e137,0,932
0,0,932
1.2280203520108508e138,0,932
0,0,932
-3.995152773285248e137,0,932
0,0,932
2.0685342731791612e138,0,932
0,0,932
-7.737840148885126e137,0,932
0,0,932
2.1597861515898014e138,0,932
0,0,932
-6.131628301860762e137,0,932
0,0,932
4.7171338839008745e138,0,932
0,0,932
-1.6011676412293897e138,0,932
0,0,932
4.415646149357438e138,0,932
0,0,932
-4.0432979660022245e138,0,932
0,0,932
3.639991051942392e138,0,932
0,0,932
-4.5545673963748555e138,0,932
0,0,932
8.214138567257309e138,0,932
0,0,932
-3.093965066714281e138,0,932
0,0,932
1.015827222919314e139,0,932
0,0,932
-6.151195780518809e138,0,932
0,0,932
1.0080706864183787e139,0,932
0,0,932
-1.3249000458471462e139,0,932
0,0,932
2.6156558542886755e139,0,932
0,0,932
-1.083089981237883e139,0,932
0,0,932
1.277807124319174e139,0,932
0,0,932
-1.8276715985271614e139,0,932
0,0,932
5.932982351602218e139,0,932
0,0,932
-1.0446265908321848e139,0,932
0,0,932
9.652352700583736e139,0,932
0,0,932
-6.057302553714403e139,0,932
0,0,932
6.294411299249687e139,0,932
0,0,932
-5.966573810209039e139,0,932
0,0,932
1.1472597877169268e140,0,932
0,0,932
-1.6038536108988652e139,0,932
0,0,932
8.962239874157747e139,0,932
0,0,932
-5.760525846806473e139,0,932
0,0,932
7.277599069916436e139,0,932
0,0,932
-8.050739591742663e139,0,932
0,0,932
4.835089087061945e139,0,932
0,0,932
-3.1890195851341894e138,0,932
0,0,932
1.6516683205919514e140,0,932
0,0,932
-1.3495853549095923e140,0,932
0,0,932
8.188238866207764e139,0,932
0,0,932
-1.8622176721164723e140,0,932
0,0,932
1.507263189733168e140,0,932
0,0,932
-1.5804630995594594e140,0,932
0,0,932
3.860953277959247e140,0,932
0,0,932
-1.2524644199671626e140,0,932
0,0,932
3.242466071627749e140,0,932
0,0,932
-2.7777417440834107e140,0,932
0,0,932
5.916348360366345e140,0,932
0,0,932
-3.383493252703879e140,0,932
0,0,932
-6.801420785429871e139,0,932
0,0,932
-1.294830219324376e140,0,932
0,0,932
8.473879077525978e140,0,932
0,0,932
-3.1884556470599244e140,0,932
0,0,932
4.1575675836100045e140,0,932
0,0,932
-8.480990962765091e139,0,932
0,0,932
6.3393206810413765e140,0,932
0,0,932
-5.836299523831991e140,0,932
0,0,932
8.211012144821426e140,0,932
0,0,932
-4.4184356591212625e140,0,932
0,0,932
3.855656959277274e140,0,932
0,0,932
-2.3728488231846456e140,0,932
0,0,932
6.4141730408441196e140,0,932
0,0,932
-3.237248360323912e140,0,932
0,0,932
3.805344408825706e140,0,932
0,0,932
-5.280338344096981e140,0,932
0,0,932
6.6442095669213155e140,0,932
0,0,932
-3.228828057206865e140,0,932
0,0,932
3.3168895786144845e140,0,932
0,0,932
-3.6280122244938133e140,0,932
0,0,932
8.367992361691849e140,0,932
0,0,932
-1.3959391627607809e140,0,932
0,0,932
4.9302575857421035e140,0,932
0,0,932
-4.9068904893331944e140,0,932
0,0,932
9.480994703371739e140,0,932
0,0,932
-1.830969916094146e140,0,932
0,0,932
2.822445903514753e140,0,932
0,0,932
-2.9973003492083004e140,0,932
0,0,932
4.939095311948385e140,0,932
0,0,932
-3.334992096124215e140,0,932
0,0,932
6.129295892509413e140,0,932
0,0,932
-1.636748600472373e140,0,932
0,0,932
1.469059174389515e140,0,932
0,0,932
-5.504552374746715e139,0,932
0,0,932
1.81332778658647e140,0,932
0,0,932
-7.750769402144886e139,0,932
0,0,932
2.65632027537343e140,0,932
0,0,932
-2.962056325708748e140,0,932
0,0,932
2.8351981345138343e140,0,932
0,0,932
-7.500898881989968e139,0,932
0,0,932
2.1910999520298733e140,0,932
0,0,932
-7.631943041395358e139,0,932
0,0,932
9.165148526633405e139,0,932
