"C","S","n","alpha"
0,-5.56619568041248e-13,"ncks17",26
0,0.,"ncks17",26
0,7.098114659014148e-13,"ncks17",26
0,0.,"ncks17",26
0,-9.040484503190523e-13,"ncks17",26
0,0.,"ncks17",26
0,1.150018264739701e-12,"ncks17",26
0,0.,"ncks17",26
0,-1.461107896601771e-12,"ncks17",26
0,0.,"ncks17",26
0,1.8540632210591227e-12,"ncks17",26
0,0.,"ncks17",26
0,-2.349804194901182e-12,"ncks17",26
0,0.,"ncks17",26
0,2.974430873925724e-12,"ncks17",26
0,0.,"ncks17",26
0,-3.760463186395684e-12,"ncks17",26
0,0.,"ncks17",26
0,4.7483666385972575e-12,"ncks17",26
0,0.,"ncks17",26
0,-5.9884272656614696e-12,"ncks17",26
0,0.,"ncks17",26
0,7.543052538165451e-12,"ncks17",26
0,0.,"ncks17",26
0,-9.489591025316035e-12,"ncks17",26
0,0.,"ncks17",26
0,1.1923782908759056e-11,"ncks17",26
0,0.,"ncks17",26
0,-1.496397653724333e-11,"ncks17",26
0,0.,"ncks17",26
0,1.8756273815979814e-11,"ncks17",26
0,0.,"ncks17",26
0,-2.348080016114664e-11,"ncks17",26
0,0.,"ncks17",26
0,2.9359333985195554e-11,"ncks17",26
0,0.,"ncks17",26
0,-3.6664577339559546e-11,"ncks17",26
0,0.,"ncks17",26
0,4.5731404741153754e-11,"ncks17",26
0,0.,"ncks17",26
0,-5.697049287437992e-11,"ncks17",26
0,0.,"ncks17",26
0,7.088481156256554e-11,"ncks17",26
0,0.,"ncks17",26
0,-8.808954819296425e-11,"ncks17",26
0,0.,"ncks17",26
0,1.0933614602759386e-10,"ncks17",26
0,0.,"ncks17",26
0,-1.3554126427099785e-10,"ncks17",26
0,0.,"ncks17",26
0,1.6782161753968923e-10,"ncks17",26
0,0.,"ncks17",26
0,-2.0753582809639876e-10,"ncks17",26
0,0.,"ncks17",26
0,2.5633463001058644e-10,"ncks17",26
0,0.,"ncks17",26
0,-3.162210050116303e-10,"ncks17",26
0,0.,"ncks17",26
0,3.896221106029718e-10,"ncks17",26
0,0.,"ncks17",26
0,-4.794751881372002e-10,"ncks17",26
0,0.,"ncks17",26
0,5.893300189750508e-10,"ncks17",26
0,0.,"ncks17",26
0,-7.234709384485419e-10,"ncks17",26
0,0.,"ncks17",26
0,8.870619290246096e-10,"ncks17",26
0,0.,"ncks17",26
0,-1.0863189058541939e-9,"ncks17",26
0,0.,"ncks17",26
0,1.3287139910695646e-9,"ncks17",26
0,0.,"ncks17",26
0,-1.6232173604006025e-9,"ncks17",26
0,0.,"ncks17",26
0,1.9805831510507563e-9,"ncks17",26
0,0.,"ncks17",26
0,-2.4136869590609224e-9,"ncks17",26
0,0.,"ncks17",26
0,2.9379236451102397e-9,"ncks17",26
0,0.,"ncks17",26
0,-3.5716755292725992e-9,"ncks17",26
0,0.,"ncks17",26
0,4.336862609123662e-9,"ncks17",26
0,0.,"ncks17",26
0,-5.259588205414648e-9,"ncks17",26
0,0.,"ncks17",26
0,6.370895451255194e-9,"ncks17",26
0,0.,"ncks17",26
0,-7.707652322788801e-9,"ncks17",26
0,0.,"ncks17",26
0,9.313585492685831e-9,"ncks17",26
0,0.,"ncks17",26
0,-1.1240486206088886e-8,"ncks17",26
0,0.,"ncks17",26
0,1.3549614668367391e-8,"ncks17",26
0,0.,"ncks17",26
0,-1.631333313445958e-8,"ncks17",26
0,0.,"ncks17",26
0,1.9617002042872027e-8,"ncks17",26
0,0.,"ncks17",26
0,-2.3561178188629743e-8,"ncks17",26
0,0.,"ncks17",26
0,2.8264159126535273e-8,"ncks17",26
0,0.,"ncks17",26
0,-3.386492378967957e-8,"ncks17",26
0,0.,"ncks17",26
0,4.052652575154569e-8,"ncks17",26
0,0.,"ncks17",26
0,-4.844000270895925e-8,"ncks17",26
0,0.,"ncks17",26
0,5.78288736753821e-8,"ncks17",26
0,0.,"ncks17",26
0,-6.89543041091718e-8,"ncks17",26
0,0.,"ncks17",26
0,8.212102882025127e-8,"ncks17",26
0,0.,"ncks17",26
0,-9.768413306264359e-8,"ncks17",26
0,0.,"ncks17",26
0,1.1605680379098501e-7,"ncks17",26
0,0.,"ncks17",26
0,-1.3771917569703624e-7,"ncks17",26
0,0.,"ncks17",26
0,1.6322841040612018e-7,"ncks17",26
0,0.,"ncks17",26
0,-1.9323016215911161e-7,"ncks17",26
0,0.,"ncks17",26
0,2.2847159948460794e-7,"ncks17",26
0,0.,"ncks17",26
0,-2.698161698240211e-7,"ncks17",26
0,0.,"ncks17",26
0,3.1826031284798e-7,"ncks17",26
0,0.,"ncks17",26
0,-3.74952348324874e-7,"ncks17",26
0,0.,"ncks17",26
0,4.4121378588966336e-7,"ncks17",26
0,0.,"ncks17",26
0,-5.185633269179154e-7,"ncks17",26
0,0.,"ncks17",26
0,6.087438529253334e-7,"ncks17",26
0,0.,"ncks17",26
0,-7.137527204574614e-7,"ncks17",26
0,0.,"ncks17",26
0,8.358757092574008e-7,"ncks17",26
0,0.,"ncks17",26
0,-9.777249985270356e-7,"ncks17",26
0,0.,"ncks17",26
0,1.142281575228313e-6,"ncks17",26
0,0.,"ncks17",26
0,-1.3329425084745722e-6,"ncks17",26
0,0.,"ncks17",26
0,1.553573554973588e-6,"ncks17",26
0,0.,"ncks17",26
0,-1.8085675920035333e-6,"ncks17",26
0,0.,"ncks17",26
0,2.1029094062906046e-6,"ncks17",26
0,0.,"ncks17",26
0,-2.4422473991302387e-6,"ncks17",26
0,0.,"ncks17",26
0,2.832972799824841e-6,"ncks17",26
0,0.,"ncks17",26
0,-3.2823070106236332e-6,"ncks17",26
0,0.,"ncks17",26
0,3.798397736417849e-6,"ncks17",26
0,0.,"ncks17",26
0,-4.390424580987379e-6,"ncks17",26
0,0.,"ncks17",26
0,5.068714818079017e-6,"ncks17",26
0,0.,"ncks17",26
0,-5.8448700694318795e-6,"ncks17",26
0,0.,"ncks17",26
0,6.731904642406582e-6,"ncks17",26
0,0.,"ncks17",26
0,-7.744396296419538e-6,"ncks17",26
0,0.,"ncks17",26
0,8.89865021917618e-6,"ncks17",26
0,0.,"ncks17",26
0,-0.000010212876999927608,"ncks17",26
0,0.,"ncks17",26
0,0.000011707385386786092,"ncks17",26
0,0.,"ncks17",26
0,-0.000013404790607622051,"ncks17",26
0,0.,"ncks17",26
0,0.00001533023901828574,"ncks17",26
0,0.,"ncks17",26
0,-0.00001751164981687496,"ncks17",26
0,0.,"ncks17",26
0,0.000019979974527505988,"ncks17",26
0,0.,"ncks17",26
0,-0.000022769474910524272,"ncks17",26
0,0.,"ncks17",26
0,0.00002591801989729739,"ncks17",26
0,0.,"ncks17",26
0,-0.000029467402075658376,"ncks17",26
0,0.,"ncks17",26
0,0.00003346367416573126,"ncks17",26
0,0.,"ncks17",26
0,-0.000037957505824331005,"ncks17",26
