coscoeff,sincoeff,highest_deg,epsilon,bchoice
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.001953125,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.021484375,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.109375,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.34375,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.75390625,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.75390625,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.34375,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.109375,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.021484375,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.001953125,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,-0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
0.0,0.0,29,1.0e-14,5
