coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,4.123597361821744e-153,437,1.0e-14,150
2.3298774346107435e-152,0.0,437,1.0e-14,150
0.0,-1.313199441702158e-151,437,1.0e-14,150
-7.383569018411472e-151,0.0,437,1.0e-14,150
0.0,4.141305327817203e-150,437,1.0e-14,150
2.3170779190756806e-149,0.0,437,1.0e-14,150
0.0,-1.2932238281094266e-148,437,1.0e-14,150
-7.200018473627923e-148,0.0,437,1.0e-14,150
0.0,3.9986882087357267e-147,437,1.0e-14,150
2.2152494706605633e-146,0.0,437,1.0e-14,150
0.0,-1.2241821491695993e-145,437,1.0e-14,150
-6.748152088872881e-145,0.0,437,1.0e-14,150
0.0,3.710532171562838e-144,437,1.0e-14,150
2.0351533763302128e-143,0.0,437,1.0e-14,150
0.0,-1.1134347203697173e-142,437,1.0e-14,150
-6.0762564852521876e-142,0.0,437,1.0e-14,150
0.0,3.307563510331594e-141,437,1.0e-14,150
1.7958830856136077e-140,0.0,437,1.0e-14,150
0.0,-9.726188928403048e-140,437,1.0e-14,150
-5.254109239439809e-139,0.0,437,1.0e-14,150
0.0,2.8310283268304305e-138,437,1.0e-14,150
1.5215106573233276e-137,0.0,437,1.0e-14,150
0.0,-8.156209613270283e-137,437,1.0e-14,150
-4.360951586943892e-136,0.0,437,1.0e-14,150
0.0,2.3256831798603404e-135,437,1.0e-14,150
1.237066688506983e-134,0.0,437,1.0e-14,150
0.0,-6.563051357545664e-134,437,1.0e-14,150
-3.472845475084323e-133,0.0,437,1.0e-14,150
0.0,1.832858346137313e-132,437,1.0e-14,150
9.647902966760304e-132,0.0,437,1.0e-14,150
0.0,-5.065173379303871e-131,437,1.0e-14,150
-2.6522217241679847e-130,0.0,437,1.0e-14,150
0.0,1.3850842928898958e-129,437,1.0e-14,150
7.214233009188647e-129,0.0,437,1.0e-14,150
0.0,-3.747558418327286e-128,437,1.0e-14,150
-1.941545726689311e-127,0.0,437,1.0e-14,150
0.0,1.0031929253221937e-126,437,1.0e-14,150
5.169583601387076e-126,0.0,437,1.0e-14,150
0.0,-2.6567919615408955e-125,437,1.0e-14,150
-1.3617174875258885e-124,0.0,437,1.0e-14,150
0.0,6.960501604316598e-124,437,1.0e-14,150
3.5482537671323365e-123,0.0,437,1.0e-14,150
0.0,-1.803872973002702e-122,437,1.0e-14,150
-9.145572281101001e-122,0.0,437,1.0e-14,150
0.0,4.624086674371468e-121,437,1.0e-14,150
2.3315656945596312e-120,0.0,437,1.0e-14,150
0.0,-1.1723908029461189e-119,437,1.0e-14,150
-5.878907483236483e-119,0.0,437,1.0e-14,150
0.0,2.9397928109883546e-118,437,1.0e-14,150
1.4659834631336016e-117,0.0,437,1.0e-14,150
0.0,-7.290041834845639e-117,437,1.0e-14,150
-3.615063240467e-116,0.0,437,1.0e-14,150
0.0,1.787652129411889e-115,437,1.0e-14,150
8.815107940267657e-115,0.0,437,1.0e-14,150
0.0,-4.334570052475849e-114,437,1.0e-14,150
-2.1253693607283236e-113,0.0,437,1.0e-14,150
0.0,1.0391757605395356e-112,437,1.0e-14,150
5.066475927468022e-112,0.0,437,1.0e-14,150
0.0,-2.4630968938631733e-111,437,1.0e-14,150
-1.1940202044241745e-110,0.0,437,1.0e-14,150
0.0,5.77155214091151e-110,437,1.0e-14,150
2.7817648557224415e-109,0.0,437,1.0e-14,150
0.0,-1.3368759262597323e-108,437,1.0e-14,150
-6.406203145726422e-108,0.0,437,1.0e-14,150
0.0,3.060872376042944e-107,437,1.0e-14,150
1.4582118302280948e-106,0.0,437,1.0e-14,150
0.0,-6.926643440327064e-106,437,1.0e-14,150
-3.280558438792303e-105,0.0,437,1.0e-14,150
0.0,1.5491423954009265e-104,437,1.0e-14,150
7.293724741493343e-104,0.0,437,1.0e-14,150
0.0,-3.4238733669526405e-103,437,1.0e-14,150
-1.6024781201472286e-102,0.0,437,1.0e-14,150
0.0,7.477705889623213e-102,437,1.0e-14,150
3.478902387601906e-101,0.0,437,1.0e-14,150
0.0,-1.613650233219884e-100,437,1.0e-14,150
-7.462176890024066e-100,0.0,437,1.0e-14,150
0.0,3.4403790222629707e-99,437,1.0e-14,150
1.5813473338156665e-98,0.0,437,1.0e-14,150
0.0,-7.246429300088944e-98,437,1.0e-14,150
-3.3104894249276527e-97,0.0,437,1.0e-14,150
0.0,1.5077426591645847e-96,437,1.0e-14,150
6.845806115130632e-96,0.0,437,1.0e-14,150
0.0,-3.0987017033988836e-95,437,1.0e-14,150
-1.398260745124165e-94,0.0,437,1.0e-14,150
0.0,6.289920546646151e-94,437,1.0e-14,150
2.8206298627757254e-93,0.0,437,1.0e-14,150
0.0,-1.260916410129606e-92,437,1.0e-14,150
-5.619025813128992e-92,0.0,437,1.0e-14,150
0.0,2.496120405113902e-91,437,1.0e-14,150
1.1053377703817088e-90,0.0,437,1.0e-14,150
0.0,-4.87915521405975e-90,437,1.0e-14,150
-2.1468887020001384e-89,0.0,437,1.0e-14,150
0.0,9.416397690488023e-89,437,1.0e-14,150
4.116854067424453e-88,0.0,437,1.0e-14,150
0.0,-1.7940997553538137e-87,437,1.0e-14,150
-7.793330807742307e-87,0.0,437,1.0e-14,150
0.0,3.3743488727951186e-86,437,1.0e-14,150
