coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,-3.784991280583599e-222,655,1.0e-14,230
-2.0872753963700817e-221,0.0,655,1.0e-14,230
0.0,1.149174529999411e-220,655,1.0e-14,230
6.3165852263596525e-220,0.0,655,1.0e-14,230
0.0,-3.466311736205691e-219,655,1.0e-14,230
-1.899068008840678e-218,0.0,655,1.0e-14,230
0.0,1.0387231485044063e-217,655,1.0e-14,230
5.672104706762547e-217,0.0,655,1.0e-14,230
0.0,-3.0922353807862055e-216,655,1.0e-14,230
-1.6829974671660004e-215,0.0,655,1.0e-14,230
0.0,9.144831799219068e-215,655,1.0e-14,230
4.960758088497628e-214,0.0,655,1.0e-14,230
0.0,-2.686576211566453e-213,655,1.0e-14,230
-1.4525389443647885e-212,0.0,655,1.0e-14,230
0.0,7.840298920427669e-212,655,1.0e-14,230
4.224860547297551e-211,0.0,655,1.0e-14,230
0.0,-2.272823750161311e-210,655,1.0e-14,230
-1.220650852225351e-209,0.0,655,1.0e-14,230
0.0,6.544676266025389e-209,655,1.0e-14,230
3.5031164638715556e-208,0.0,655,1.0e-14,230
0.0,-1.8719289512721824e-207,655,1.0e-14,230
-9.985991693246173e-207,0.0,655,1.0e-14,230
0.0,5.318127742714581e-206,655,1.0e-14,230
2.8274225710139146e-205,0.0,655,1.0e-14,230
0.0,-1.5006718224692029e-204,655,1.0e-14,230
-7.951378786186132e-204,0.0,655,1.0e-14,230
0.0,4.2059055440985245e-203,655,1.0e-14,230
2.2209336793015985e-202,0.0,655,1.0e-14,230
0.0,-1.1707638581254492e-201,655,1.0e-14,230
-6.161114797675514e-201,0.0,655,1.0e-14,230
0.0,3.2367130605743254e-200,655,1.0e-14,230
1.6974720371179826e-199,0.0,655,1.0e-14,230
0.0,-8.886959573608801e-199,655,1.0e-14,230
-4.644666547904102e-198,0.0,655,1.0e-14,230
0.0,2.4232891806085664e-197,655,1.0e-14,230
1.2621294920495877e-196,0.0,655,1.0e-14,230
0.0,-6.562195299945638e-196,655,1.0e-14,230
-3.4059599992005624e-195,0.0,655,1.0e-14,230
0.0,1.7647113335274507e-194,655,1.0e-14,230
9.127463937353273e-194,0.0,655,1.0e-14,230
0.0,-4.712674767003467e-193,655,1.0e-14,230
-2.428981866458753e-192,0.0,655,1.0e-14,230
0.0,1.2497383532044652e-191,655,1.0e-14,230
6.418750600435336e-191,0.0,655,1.0e-14,230
0.0,-3.2909177885633924e-190,655,1.0e-14,230
-1.6842914233975821e-189,0.0,655,1.0e-14,230
0.0,8.604975771339583e-189,655,1.0e-14,230
4.38846672265658e-188,0.0,655,1.0e-14,230
0.0,-2.2341135182650416e-187,655,1.0e-14,230
-1.1353387289359337e-186,0.0,655,1.0e-14,230
0.0,5.759330124131595e-186,655,1.0e-14,230
2.9163745837147506e-185,0.0,655,1.0e-14,230
0.0,-1.4741373496836517e-184,655,1.0e-14,230
-7.437969688230684e-184,0.0,655,1.0e-14,230
0.0,3.7462017018271403e-183,655,1.0e-14,230
1.8834178881595322e-182,0.0,655,1.0e-14,230
0.0,-9.451907941953964e-182,655,1.0e-14,230
-4.73486939138441e-181,0.0,655,1.0e-14,230
0.0,2.3676130041003657e-180,655,1.0e-14,230
1.1817512743017364e-179,0.0,655,1.0e-14,230
0.0,-5.887793129884134e-179,655,1.0e-14,230
-2.9281178397707656e-178,0.0,655,1.0e-14,230
0.0,1.4535585876784077e-177,655,1.0e-14,230
7.202494672486369e-177,0.0,655,1.0e-14,230
0.0,-3.562363137851229e-176,655,1.0e-14,230
-1.758719935423029e-175,0.0,655,1.0e-14,230
0.0,8.666761615776509e-175,655,1.0e-14,230
4.26301721662496e-174,0.0,655,1.0e-14,230
0.0,-2.0930316215600346e-173,655,1.0e-14,230
-1.0257259685778748e-172,0.0,655,1.0e-14,230
0.0,5.017439599466885e-172,655,1.0e-14,230
2.449777112436252e-171,0.0,655,1.0e-14,230
0.0,-1.1938863289294806e-170,655,1.0e-14,230
-5.807506895416248e-170,0.0,655,1.0e-14,230
0.0,2.819714856787291e-169,655,1.0e-14,230
