coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,-0.0,2613,1.0e-14,950
-0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
0.0,0.0,2613,1.0e-14,950
