"C","S","n"
5.124894317623902e-21,0,1864
0,0,1864
-5.970501880033428e-21,0,1864
0,0,1864
9.442721879637609e-21,0,1864
0,0,1864
-1.4255249584492232e-20,0,1864
0,0,1864
2.0793311441930354e-20,0,1864
0,0,1864
-2.95298078434297e-20,0,1864
0,0,1864
4.104171519576381e-20,0,1864
0,0,1864
-5.602909414058598e-20,0,1864
0,0,1864
7.533466314826855e-20,0,1864
0,0,1864
-9.997808248765751e-20,0,1864
0,0,1864
1.3025361965804328e-19,0,1864
0,0,1864
-1.6942360620814485e-19,0,1864
0,0,1864
-1.7170405063058228e-20,0,1864
0,0,1864
-3.4340810126116455e-20,0,1864
0,0,1864
-3.507341407547361e-17,0,1864
0,0,1864
4.19415761006969e-17,0,1864
0,0,1864
-6.7516779972755044e-15,0,1864
0,0,1864
6.564131386240074e-15,0,1864
0,0,1864
-8.882207498637997e-13,0,1864
0,0,1864
1.152286378201686e-12,0,1864
0,0,1864
-1.1676501965777085e-10,0,1864
0,0,1864
1.597837111106338e-10,0,1864
0,0,1864
-2.2025570023865828e-8,0,1864
0,0,1864
1.730580501875172e-8,0,1864
0,0,1864
-1.611013121745615e-6,0,1864
0,0,1864
2.4165196826184222e-6,0,1864
0,0,1864
-0.00025776209947929836,0,1864
0,0,1864
0.00005155241989585968,0,1864
0,0,1864
-0.027728757851485524,0,1864
0,0,1864
0.03228148093353863,0,1864
0,0,1864
-0.7110109752036967,0,1864
0,0,1864
1.0590929143405412,0,1864
0,0,1864
-38.00856814081942,0,1864
0,0,1864
335.32003448678466,0,1864
0,0,1864
-8865.287360134236,0,1864
0,0,1864
10378.873006986423,0,1864
0,0,1864
774955.8511883196,0,1864
0,0,1864
2.823053457900307e6,0,1864
0,0,1864
7.085310639436065e6,0,1864
0,0,1864
5.809954724337573e8,0,1864
0,0,1864
-1.4510716189565062e10,0,1864
0,0,1864
2.176607428434759e10,0,1864
0,0,1864
-1.2769430246817253e12,0,1864
0,0,1864
1.6252002132312869e12,0,1864
0,0,1864
-1.4858973378114622e14,0,1864
0,0,1864
2.9717946756229246e13,0,1864
0,0,1864
-1.9019485923986718e15,0,1864
0,0,1864
5.705845777196015e15,0,1864
0,0,1864
-6.086235495675749e17,0,1864
0,0,1864
1.2172470991351498e18,0,1864
0,0,1864
-1.5580762868929919e19,0,1864
0,0,1864
0,0,1864
0,0,1864
-9.971688236115148e20,0,1864
0,0,1864
-3.988675294446059e21,0,1864
0,0,1864
5.105504376890956e23,0,1864
0,0,1864
-2.552752188445478e23,0,1864
0,0,1864
1.6337614006051059e25,0,1864
0,0,1864
-1.6337614006051059e25,0,1864
0,0,1864
1.7322938879056313e27,0,1864
0,0,1864
-1.1063595927303098e27,0,1864
0,0,1864
2.1621903972267557e29,0,1864
0,0,1864
-1.3181705507870272e29,0,1864
0,0,1864
1.0180391044033696e31,0,1864
0,0,1864
-1.0624590346840718e31,0,1864
0,0,1864
7.594232723569521e32,0,1864
0,0,1864
-7.786985200622031e32,0,1864
0,0,1864
3.853810705525458e34,0,1864
0,0,1864
-5.085251695485042e34,0,1864
0,0,1864
2.669833661854026e36,0,1864
0,0,1864
-2.9453381018135786e36,0,1864
0,0,1864
1.4934046916310177e38,0,1864
0,0,1864
-1.590260554239258e38,0,1864
0,0,1864
7.942768403587703e39,0,1864
0,0,1864
-9.086391205517774e39,0,1864
0,0,1864
3.356101381129975e41,0,1864
0,0,1864
-3.5474115545980166e41,0,1864
0,0,1864
1.7999035948563597e43,0,1864
0,0,1864
-1.7325336723610974e43,0,1864
0,0,1864
7.195935475807951e44,0,1864
0,0,1864
-7.67566450752848e44,0,1864
0,0,1864
3.1230065652717105e46,0,1864
0,0,1864
-3.307599233182825e46,0,1864
0,0,1864
1.1898315965927829e48,0,1864
0,0,1864
-1.1392004648228772e48,0,1864
0,0,1864
4.3745297849198487e49,0,1864
0,0,1864
-3.8344643793741887e49,0,1864
0,0,1864
1.4911977369123604e51,0,1864
0,0,1864
-1.698582852641894e51,0,1864
0,0,1864
5.230055109064808e52,0,1864
0,0,1864
-5.230055109064808e52,0,1864
0,0,1864
1.8101362939409803e54,0,1864
0,0,1864
-2.042723638972503e54,0,1864
0,0,1864
4.724556852118581e55,0,1864
0,0,1864
-7.11919525661704e55,0,1864
0,0,1864
1.6154101236832845e57,0,1864
0,0,1864
-2.423115185524927e57,0,1864
0,0,1864
5.699498282533845e58,0,1864
0,0,1864
-5.16931239578651e58,0,1864
0,0,1864
1.69659483759147e60,0,1864
0,0,1864
-1.6541799666516834e60,0,1864
0,0,1864
4.0718276102195286e61,0,1864
0,0,1864
-3.121734501168305e61,0,1864
0,0,1864
1.1292535239008826e63,0,1864
0,0,1864
-1.1292535239008826e63,0,1864
0,0,1864
4.169551472864797e64,0,1864
0,0,1864
-2.7797009819098646e64,0,1864
0,0,1864
5.33702588526694e65,0,1864
0,0,1864
-4.447521571055783e65,0,1864
0,0,1864
8.539241416427104e66,0,1864
0,0,1864
-1.1385655221902806e67,0,1864
0,0,1864
1.821704835504449e68,0,1864
0,0,1864
3.643409671008898e68,0,1864
0,0,1864
1.748836642084271e70,0,1864
0,0,1864
-2.040309415764983e70,0,1864
0,0,1864
-1.8654257515565558e71,0,1864
0,0,1864
-9.327128757782779e70,0,1864
0,0,1864
-2.673549052100211e73,0,1864
0,0,1864
2.8555080950499175e72,0,1864
0,0,1864
5.315652855708223e74,0,1864
0,0,1864
1.351377674848697e74,0,1864
0,0,1864
-1.874366610427682e76,0,1864
0,0,1864
7.365790223387962e75,0,1864
0,0,1864
-2.7514570882735693e77,0,1864
0,0,1864
4.047207752450266e77,0,1864
0,0,1864
-1.3439302471888138e79,0,1864
0,0,1864
3.0353321107700223e78,0,1864
0,0,1864
-2.797844701968964e80,0,1864
0,0,1864
4.456424263006384e80,0,1864
0,0,1864
-8.9437992334061e81,0,1864
0,0,1864
6.655300557203309e81,0,1864
0,0,1864
-2.4211424772068748e83,0,1864
0,0,1864
2.2553898114672628e83,0,1864
0,0,1864
-4.993932395333032e84,0,1864
0,0,1864
8.69500920071254e84,0,1864
0,0,1864
-1.1980615683254634e86,0,1864
0,0,1864
2.111070500696037e86,0,1864
0,0,1864
-3.321530050065966e87,0,1864
0,0,1864
4.380295470845772e87,0,1864
0,0,1864
-6.419222378404877e88,0,1864
0,0,1864
5.044462146761407e88,0,1864
0,0,1864
-3.399969649991465e90,0,1864
0,0,1864
1.643969619970148e90,0,1864
0,0,1864
