coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,-2.0372760705905645e-18,27,1.0e-6,5
-2.1819260603585875e-17,0.0,27,1.0e-6,5
0.0,2.2488303420670275e-16,27,1.0e-6,5
2.2270110814634416e-15,0.0,27,1.0e-6,5
0.0,-2.115442334784233e-14,27,1.0e-6,5
-1.9239368371868599e-13,0.0,27,1.0e-6,5
0.0,1.6719099933765945e-12,27,1.0e-6,5
1.385165026064471e-11,0.0,27,1.0e-6,5
0.0,-1.0914129209178111e-10,27,1.0e-6,5
-8.156221696368908e-10,0.0,27,1.0e-6,5
0.0,5.763338329293839e-9,27,1.0e-6,5
3.83750784695612e-8,0.0,27,1.0e-6,5
0.0,-2.3983716387589786e-7,27,1.0e-6,5
-1.4006479047858269e-6,0.0,27,1.0e-6,5
0.0,7.603791102924729e-6,27,1.0e-6,5
3.813906583042276e-5,0.0,27,1.0e-6,5
0.0,-0.00017546372488310452,27,1.0e-6,5
-0.0007339013236552371,0.0,27,1.0e-6,5
0.0,0.0027601415697378414,27,1.0e-6,5
0.009202608327401003,0.0,27,1.0e-6,5
0.0,-0.02668820507794536,27,1.0e-6,5
-0.06552436589084601,0.0,27,1.0e-6,5
0.0,0.13057027306008503,27,1.0e-6,5
0.1956161802293241,0.0,27,1.0e-6,5
0.0,-0.1824156153068335,27,1.0e-6,5
-0.0232825581388761,0.0,27,1.0e-6,5
0.0,-0.16378956879573262,27,1.0e-6,5
-0.08879838565716915,0.0,27,1.0e-6,5
0.0,-0.16378956879573262,27,1.0e-6,5
-0.0232825581388761,0.0,27,1.0e-6,5
0.0,-0.1824156153068335,27,1.0e-6,5
0.1956161802293241,0.0,27,1.0e-6,5
0.0,0.13057027306008503,27,1.0e-6,5
-0.06552436589084601,0.0,27,1.0e-6,5
0.0,-0.02668820507794536,27,1.0e-6,5
0.009202608327401003,0.0,27,1.0e-6,5
0.0,0.0027601415697378414,27,1.0e-6,5
-0.0007339013236552371,0.0,27,1.0e-6,5
0.0,-0.00017546372488310452,27,1.0e-6,5
3.813906583042276e-5,0.0,27,1.0e-6,5
0.0,7.603791102924729e-6,27,1.0e-6,5
-1.4006479047858269e-6,0.0,27,1.0e-6,5
0.0,-2.3983716387589786e-7,27,1.0e-6,5
3.83750784695612e-8,0.0,27,1.0e-6,5
0.0,5.763338329293839e-9,27,1.0e-6,5
-8.156221696368908e-10,0.0,27,1.0e-6,5
0.0,-1.0914129209178111e-10,27,1.0e-6,5
1.385165026064471e-11,0.0,27,1.0e-6,5
0.0,1.6719099933765945e-12,27,1.0e-6,5
-1.9239368371868599e-13,0.0,27,1.0e-6,5
0.0,-2.115442334784233e-14,27,1.0e-6,5
2.2270110814634416e-15,0.0,27,1.0e-6,5
0.0,2.2488303420670275e-16,27,1.0e-6,5
-2.1819260603585875e-17,0.0,27,1.0e-6,5
0.0,-2.0372760705905645e-18,27,1.0e-6,5
