coscoeff,sincoeff,highest_deg,epsilon,bchoice
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-1.8189894035458565e-12,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,7.457856554538012e-11,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-1.4933903003111482e-9,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,1.946500560734421e-8,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-1.8570244719740003e-7,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,1.382612026645802e-6,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-8.364584573428147e-6,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,4.2277022657799534e-5,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0001821658297558315,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0006795482549932785,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0022214337732293643,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.006426576095691416,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.01658900337497471,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.03847730828420026,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0806904677519924,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.1538599441628321,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.26818725105476915,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.42959050784338615,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.6358280026288412,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.8746293123804207,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.8746293123804207,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.6358280026288412,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.42959050784338615,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.26818725105476915,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.1538599441628321,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0806904677519924,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.03847730828420026,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.01658900337497471,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.006426576095691416,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0022214337732293643,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0006795482549932785,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0001821658297558315,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,4.2277022657799534e-5,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-8.364584573428147e-6,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,1.382612026645802e-6,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-1.8570244719740003e-7,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,1.946500560734421e-8,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-1.4933903003111482e-9,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,7.457856554538012e-11,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-1.8189894035458565e-12,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,-0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
0.0,0.0,57,1.0e-14,20
