"C","S","n"
0.007240510595322022,0,1696
0,0,1696
-0.00007674941231034372,0,1696
0,0,1696
0.00007715546466217608,0,1696
0,0,1696
-0.00007756246698912657,0,1696
0,0,1696
0.00007797041645612139,0,1696
0,0,1696
-0.00007837931627790847,0,1696
0,0,1696
0.00007878872260911652,0,1696
0,0,1696
-0.0000791999441436667,0,1696
0,0,1696
0.00007945583428833982,0,1696
0,0,1696
-0.00008002249285756424,0,1696
0,0,1696
0.00008440121816520744,0,1696
0,0,1696
-0.00008088450074165713,0,1696
0,0,1696
0.009002796604288793,0,1696
0,0,1696
0.00011253495755360992,0,1696
0,0,1696
3.68754548911669,0,1696
0,0,1696
0.0036011186417155175,0,1696
0,0,1696
118.00145565173408,0,1696
0,0,1696
-3.68754548911669,0,1696
0,0,1696
151041.8632342196,0,1696
0,0,1696
-1888.0232904277452,0,1696
0,0,1696
1.5466686795184089e7,0,1696
0,0,1696
302083.7264684392,0,1696
0,0,1696
-9.898679548917817e8,0,1696
0,0,1696
3.0933373590368178e7,0,1696
0,0,1696
-5.068123929045922e11,0,1696
0,0,1696
4.949339774458908e9,0,1696
0,0,1696
-1.9087821747769203e14,0,1696
0,0,1696
2.84822130670674e12,0,1696
0,0,1696
-3.5468758505034984e16,0,1696
0,0,1696
3.621174547303311e14,0,1696
0,0,1696
-4.413370971402908e18,0,1696
0,0,1696
4.489141451391716e16,0,1696
0,0,1696
-5.6544291565127454e20,0,1696
0,0,1696
5.115026375134885e18,0,1696
0,0,1696
-5.224182366558542e22,0,1696
0,0,1696
5.101740592342327e20,0,1696
0,0,1696
-4.283829540578005e24,0,1696
0,0,1696
4.652787420216202e22,0,1696
0,0,1696
-3.388056404125433e26,0,1696
0,0,1696
2.995197890160231e24,0,1696
0,0,1696
-2.1683560986402773e28,0,1696
0,0,1696
2.1844047868703453e26,0,1696
0,0,1696
-1.5338266297750174e30,0,1696
0,0,1696
1.6547980752781064e28,0,1696
0,0,1696
-9.349038505295343e31,0,1696
0,0,1696
8.764723598714384e29,0,1696
0,0,1696
-5.983384643389019e33,0,1696
0,0,1696
5.609423103177206e31,0,1696
0,0,1696
-3.8293661717689724e35,0,1696
0,0,1696
3.290861553863961e33,0,1696
0,0,1696
-1.838095762449107e37,0,1696
0,0,1696
1.531746468707589e35,0,1696
0,0,1696
-6.810704994261178e38,0,1696
0,0,1696
7.920388704783626e36,0,1696
0,0,1696
-5.39183755995575e40,0,1696
0,0,1696
3.4418919052631456e38,0,1696
0,0,1696
-2.4679057960833688e42,0,1696
0,0,1696
3.788548957744087e40,0,1696
0,0,1696
-7.014745935065936e43,0,1696
0,0,1696
2.12258397058923e41,0,1696
0,0,1696
2.6895025038697252e45,0,1696
0,0,1696
6.789759092471205e42,0,1696
0,0,1696
-1.5846686881922746e47,0,1696
0,0,1696
8.02433831551696e44,0,1696
0,0,1696
2.9367767614282565e48,0,1696
0,0,1696
1.2195452333104012e47,0,1696
0,0,1696
2.7923589221207453e50,0,1696
0,0,1696
9.60504944373937e47,0,1696
0,0,1696
-1.3408712179949655e52,0,1696
0,0,1696
1.5595442472158083e50,0,1696
0,0,1696
-1.655609478167417e52,0,1696
0,0,1696
-4.527057166864031e51,0,1696
0,0,1696
-2.3310981452597232e55,0,1696
0,0,1696
2.980097060701351e53,0,1696
0,0,1696
2.2604588075245801e55,0,1696
0,0,1696
-1.1125695693285042e55,0,1696
0,0,1696
8.680161820894388e58,0,1696
0,0,1696
-2.4865046882770382e56,0,1696
0,0,1696
2.3610040152832734e60,0,1696
0,0,1696
3.616734092039328e57,0,1696
0,0,1696
8.888485704595854e61,0,1696
0,0,1696
-1.1805020076416367e60,0,1696
0,0,1696
4.5509046807530766e63,0,1696
0,0,1696
-2.9628285681986175e61,0,1696
0,0,1696
5.461085616903692e64,0,1696
0,0,1696
-2.46507336874125e63,0,1696
0,0,1696
8.155221187909514e66,0,1696
0,0,1696
-1.0315383943040307e65,0,1696
0,0,1696
4.722261411665699e68,0,1696
0,0,1696
-2.7184070626365045e66,0,1696
0,0,1696
1.7497221230592907e70,0,1696
0,0,1696
-1.6776455015128142e68,0,1696
0,0,1696
3.0540604329762163e71,0,1696
0,0,1696
-2.9824808915783366e69,0,1696
0,0,1696
1.465949007828584e73,0,1696
0,0,1696
-1.654282734528784e71,0,1696
0,0,1696
6.515328923682595e74,0,1696
0,0,1696
-6.108120865952433e72,0,1696
0,0,1696
2.4184900964709792e76,0,1696
0,0,1696
-1.9545986771047786e74,0,1696
0,0,1696
3.202414472568469e77,0,1696
0,0,1696
-5.420753664503919e75,0,1696
0,0,1696
2.1349429817123126e79,0,1696
0,0,1696
-2.0015090453552933e77,0,1696
0,0,1696
4.918908629865169e80,0,1696
0,0,1696
-6.831817541479401e78,0,1696
0,0,1696
1.0635208321014181e82,0,1696
0,0,1696
-1.2172763501358728e80,0,1696
0,0,1696
3.949700545533321e83,0,1696
0,0,1696
-2.9162503095702397e81,0,1696
0,0,1696
4.712067582228401e84,0,1696
0,0,1696
-9.455588313301119e82,0,1696
0,0,1696
1.4929884484459074e86,0,1696
0,0,1696
-2.073346604462469e84,0,1696
0,0,1696
5.15926943864423e87,0,1696
0,0,1696
-3.38704960271857e85,0,1696
0,0,1696
8.874766407312914e88,0,1696
0,0,1696
-1.1527253880127541e87,0,1696
0,0,1696
1.5364629165614488e90,0,1696
0,0,1696
-1.0056939771447906e88,0,1696
0,0,1696
4.0267769273302716e91,0,1696
0,0,1696
-1.75529773264041e89,0,1696
0,0,1696
-3.602156612574868e92,0,1696
0,0,1696
-2.546522303187797e89,0,1696
0,0,1696
9.66687165817784e93,0,1696
0,0,1696
2.668228052184465e91,0,1696
0,0,1696
-2.6400530879833158e95,0,1696
0,0,1696
1.80774708919169e93,0,1696
0,0,1696
-5.287511105692612e96,0,1696
0,0,1696
8.022921525580577e94,0,1696
0,0,1696
-2.0859100444706563e98,0,1696
0,0,1696
1.4789438292349937e96,0,1696
0,0,1696
-9.248191971248182e99,0,1696
0,0,1696
8.157534374611453e97,0,1696
0,0,1696
-3.199615572795003e101,0,1696
0,0,1696
3.6436855319009535e99,0,1696
0,0,1696
-6.229875980966521e102,0,1696
0,0,1696
9.569507495055407e100,0,1696
0,0,1696
-2.2940216862581447e104,0,1696
0,0,1696
2.425765028061178e102,0,1696
0,0,1696
-5.832423236649298e105,0,1696
0,0,1696
5.540913027041726e103,0,1696
0,0,1696
-1.172882109264624e107,0,1696
0,0,1696
1.1077881478164404e105,0,1696
0,0,1696
-3.3360649354315956e108,0,1696
0,0,1696
2.52667080797689e106,0,1696
0,0,1696
-6.944817621583462e109,0,1696
0,0,1696
6.334074167493612e107,0,1696
0,0,1696
-1.393784759774115e111,0,1696
0,0,1696
1.4405892247922805e109,0,1696
0,0,1696
-3.3696639540724203e112,0,1696
0,0,1696
2.875403644478504e110,0,1696
0,0,1696
-7.376806006156913e113,0,1696
0,0,1696
6.065633277164553e111,0,1696
0,0,1696
-1.2846843757242058e115,0,1696
0,0,1696
1.1967531668319755e113,0,1696
0,0,1696
-2.6109329253336526e116,0,1696
0,0,1696
2.1834147184731638e114,0,1696
0,0,1696
-4.787270538136011e117,0,1696
0,0,1696
4.437761229891569e115,0,1696
0,0,1696
-9.059248634697146e118,0,1696
0,0,1696
7.854747586320408e116,0,1696
0,0,1696
-1.678467365325123e120,0,1696
0,0,1696
1.3621564707343344e118,0,1696
0,0,1696
-2.830379525323182e121,0,1696
0,0,1696
2.4693172501472013e119,0,1696
0,0,1696
-4.7101234896647166e122,0,1696
0,0,1696
3.932309623888429e120,0,1696
0,0,1696
-7.512987308982375e123,0,1696
0,0,1696
6.826387218200404e121,0,1696
0,0,1696
-1.269875776331926e125,0,1696
0,0,1696
1.1383449362528547e123,0,1696
0,0,1696
-1.9672028823032787e126,0,1696
0,0,1696
1.765885293346998e124,0,1696
0,0,1696
-3.0324664009730837e127,0,1696
0,0,1696
2.75533334312692e125,0,1696
0,0,1696
-4.382352730718144e128,0,1696
0,0,1696
4.0660401582179293e126,0,1696
0,0,1696
-6.609879690105601e129,0,1696
0,0,1696
5.733409143961972e127,0,1696
0,0,1696
-9.297764301248241e130,0,1696
0,0,1696
8.312273175246092e128,0,1696
0,0,1696
-1.2882675485440861e132,0,1696
0,0,1696
1.1492404113763665e130,0,1696
0,0,1696
-1.824023259208452e133,0,1696
0,0,1696
1.6454806237604275e131,0,1696
0,0,1696
-2.4767454838041225e134,0,1696
0,0,1696
2.1777856177769075e132,0,1696
0,0,1696
-3.5125943875985546e135,0,1696
0,0,1696
2.8628167745424137e133,0,1696
0,0,1696
-4.372159213893164e136,0,1696
0,0,1696
3.5989696594247486e134,0,1696
0,0,1696
-5.507915515433227e137,0,1696
0,0,1696
4.774196842756903e135,0,1696
0,0,1696
-6.604138116801689e138,0,1696
0,0,1696
5.695533075569638e136,0,1696
0,0,1696
-8.062194584147517e139,0,1696
0,0,1696
7.343887353910969e137,0,1696
0,0,1696
-9.715802154172667e140,0,1696
0,0,1696
8.576802749093102e138,0,1696
0,0,1696
-1.2120051500798445e142,0,1696
0,0,1696
9.67463350097702e139,0,1696
0,0,1696
-1.4052233624114139e143,0,1696
0,0,1696
1.218592134591148e141,0,1696
0,0,1696
-1.551366592102201e144,0,1696
0,0,1696
1.3349621942908432e142,0,1696
0,0,1696
-1.7986859038866097e145,0,1696
0,0,1696
1.7986859038866099e143,0,1696
0,0,1696
-1.5828435954202168e146,0,1696
0,0,1696
1.7087516086922793e144,0,1696
0,0,1696
-2.394410675253855e147,0,1696
0,0,1696
1.9425807761975387e145,0,1696
0,0,1696
-1.9892027148262796e148,0,1696
0,0,1696
2.359875905899232e146,0,1696
0,0,1696
-2.357573587942257e149,0,1696
0,0,1696
1.749761647300894e147,0,1696
0,0,1696
-3.30060302311916e150,0,1696
0,0,1696
3.167989508797408e148,0,1696
0,0,1696
-3.319463611822696e151,0,1696
0,0,1696
2.3575735879422558e149,0,1696
0,0,1696
-5.311141778916285e152,0,1696
0,0,1696
2.6404824184953023e150,0,1696
0,0,1696
-3.476383709835726e153,0,1696
0,0,1696
4.375656579220507e151,0,1696
0,0,1696
-3.3991307385021787e154,0,1696
0,0,1696
3.9833563341838792e152,0,1696
0,0,1696
-3.955352132042132e155,0,1696
0,0,1696
3.0901188531577226e153,0,1696
0,0,1696
-4.3508873449909654e156,0,1696
0,0,1696
2.9356129102949036e154,0,1696
0,0,1696
-6.328563409269229e157,0,1696
0,0,1696
5.191399671741279e155,0,1696
0,0,1696
-5.822278325605161e158,0,1696
0,0,1696
5.339725368277869e156,0,1696
0,0,1696
-7.290504977434765e159,0,1696
0,0,1696
5.0628506724807633e157,0,1696
0,0,1696
-7.452515898700159e160,0,1696
0,0,1696
3.290852681755377e158,0,1696
0,0,1696
-5.702793276371502e161,0,1696
0,0,1696
5.467877397230653e159,0,1696
0,0,1696
-6.22122308868107e162,0,1696
0,0,1696
5.832397906601969e160,0,1696
0,0,1696
-8.294942154618154e163,0,1696
0,0,1696
3.8882441430966405e161,0,1696
0,0,1696
-7.166732882744984e164,0,1696
0,0,1696
7.672754488173757e162,0,1696
0,0,1696
-7.0071410417157884e165,0,1696
0,0,1696
4.644834809679003e163,0,1696
0,0,1696
-6.114169701651273e166,0,1696
0,0,1696
4.5112692056274467e164,0,1696
0,0,1696
-4.615759820695224e167,0,1696
0,0,1696
3.6061116006288536e165,0,1696
0,0,1696
-7.160435996501711e168,0,1696
0,0,1696
3.725568713572968e166,0,1696
0,0,1696
-4.82612293253898e169,0,1696
0,0,1696
2.276005961287972e167,0,1696
0,0,1696
-5.859989611646927e170,0,1696
0,0,1696
4.688525319201143e168,0,1696
0,0,1696
-2.342621603217276e171,0,1696
0,0,1696
2.8788003080259112e169,0,1696
0,0,1696
-5.2205551069025445e172,0,1696
0,0,1696
4.231144775751759e170,0,1696
0,0,1696
-3.239067066785078e173,0,1696
0,0,1696
2.8996952999934856e171,0,1696
0,0,1696
-2.3187677422605684e174,0,1696
0,0,1696
1.7214583057658267e172,0,1696
0,0,1696
-3.0159317213011253e175,0,1696
0,0,1696
5.7208501606573696e172,0,1696
0,0,1696
-1.8256417675602083e176,0,1696
0,0,1696
3.1497849615341665e173,0,1696
0,0,1696
-1.3366342059725591e177,0,1696
0,0,1696
4.725593967821653e174,0,1696
0,0,1696
-1.0107497519562298e178,0,1696
0,0,1696
2.0404074041176724e176,0,1696
0,0,1696
-1.5988179283254123e178,0,1696
0,0,1696
1.1843682064355839e177,0,1696
0,0,1696
-1.4619649292629058e180,0,1696
0,0,1696
7.937684741272459e177,0,1696
0,0,1696
-3.231221852863053e180,0,1696
0,0,1696
3.250403353845873e178,0,1696
0,0,1696
-9.159554312814144e181,0,1696
0,0,1696
4.8801286491797695e178,0,1696
0,0,1696
-5.590981970475948e182,0,1696
0,0,1696
5.488285931571115e180,0,1696
0,0,1696
-1.5596006912873448e183,0,1696
0,0,1696
1.810539109825522e181,0,1696
0,0,1696
-3.059787520714909e184,0,1696
0,0,1696
2.4016244771499255e181,0,1696
0,0,1696
-2.8237596720232213e185,0,1696
0,0,1696
5.7605800977258565e181,0,1696
0,0,1696
-3.6430052834892184e186,0,1696
0,0,1696
2.039629745586818e184,0,1696
0,0,1696
-2.5101157436325675e186,0,1696
0,0,1696
7.640936909160345e184,0,1696
0,0,1696
-1.920429808710579e188,0,1696
0,0,1696
-2.0569239854325952e185,0,1696
0,0,1696
-1.0251301559984513e189,0,1696
0,0,1696
-2.3906494993253794e185,0,1696
0,0,1696
5.757787097550696e188,0,1696
0,0,1696
4.499760674285357e187,0,1696
0,0,1696
-1.867486773949397e190,0,1696
0,0,1696
4.3676495311306316e188,0,1696
0,0,1696
-1.2374345565728484e191,0,1696
0,0,1696
1.2033921670522162e189,0,1696
0,0,1696
3.25357673100854e191,0,1696
0,0,1696
-7.100291030636154e189,0,1696
0,0,1696
-6.864761656691065e192,0,1696
0,0,1696
2.366161730091619e189,0,1696
0,0,1696
-2.8425458740923387e194,0,1696
0,0,1696
1.462374817559132e192,0,1696
0,0,1696
-4.310984835761743e194,0,1696
0,0,1696
9.679982882165727e192,0,1696
0,0,1696
-1.0069664876768678e195,0,1696
0,0,1696
7.897053985661375e193,0,1696
0,0,1696
-3.091097727439978e196,0,1696
0,0,1696
2.3094381201944403e194,0,1696
0,0,1696
-8.013302254833762e197,0,1696
0,0,1696
-6.943623520256349e194,0,1696
0,0,1696
-4.646751030989883e198,0,1696
0,0,1696
1.3477190231970573e196,0,1696
0,0,1696
5.055396174144844e198,0,1696
0,0,1696
4.824066248030719e195,0,1696
0,0,1696
-7.015736512489377e199,0,1696
0,0,1696
2.346746902523693e197,0,1696
0,0,1696
-1.698978309168835e201,0,1696
0,0,1696
8.332817479421629e198,0,1696
0,0,1696
-1.2505926989659718e202,0,1696
0,0,1696
-6.06136148085665e199,0,1696
0,0,1696
1.8464802802180999e202,0,1696
0,0,1696
-4.4958797573279697e200,0,1696
0,0,1696
-4.847504532787004e203,0,1696
0,0,1696
-1.1264843171157984e201,0,1696
0,0,1696
-2.4276313891498512e204,0,1696
0,0,1696
-2.7925707626015974e201,0,1696
0,0,1696
-1.9768676082766741e205,0,1696
0,0,1696
-5.107361171428695e202,0,1696
0,0,1696
-2.0422459770140647e204,0,1696
0,0,1696
3.693504275746775e203,0,1696
0,0,1696
-5.2612535480423204e206,0,1696
0,0,1696
1.2619818420726747e203,0,1696
0,0,1696
-1.8007634625540217e207,0,1696
0,0,1696
-1.1768229862950385e205,0,1696
0,0,1696
-1.47593840058667e208,0,1696
0,0,1696
-4.129089564942503e205,0,1696
0,0,1696
6.99297765079401e208,0,1696
0,0,1696
-6.186445099629014e206,0,1696
0,0,1696
-4.908946602729985e209,0,1696
0,0,1696
-4.472207776569522e207,0,1696
0,0,1696
-8.379225491226353e209,0,1696
0,0,1696
-2.4017586091292396e207,0,1696
0,0,1696
-2.5835621542412025e210,0,1696
0,0,1696
-5.376910169554055e208,0,1696
0,0,1696
-1.6600267365390707e212,0,1696
0,0,1696
8.473474898202088e209,0,1696
0,0,1696
-4.594188545428911e212,0,1696
0,0,1696
4.353638161050632e210,0,1696
0,0,1696
2.979483805172879e213,0,1696
0,0,1696
4.1714658038578887e211,0,1696
0,0,1696
-3.1362508878700966e213,0,1696
0,0,1696
-3.0691854146596693e212,0,1696
0,0,1696
-2.63653592228059e214,0,1696
0,0,1696
4.996619269438383e212,0,1696
0,0,1696
4.167637360759298e215,0,1696
0,0,1696
-9.010508204133936e213,0,1696
0,0,1696
-2.951135709835998e216,0,1696
0,0,1696
2.9095485623843188e212,0,1696
0,0,1696
4.0224082141174057e217,0,1696
0,0,1696
-3.364601957541226e215,0,1696
0,0,1696
1.758627360177545e218,0,1696
0,0,1696
-1.3810657176117565e215,0,1696
0,0,1696
9.760441436539932e218,0,1696
0,0,1696
5.416881131504629e216,0,1696
0,0,1696
-3.2256729533864164e219,0,1696
0,0,1696
2.650653051905279e217,0,1696
0,0,1696
9.239090059197035e219,0,1696
0,0,1696
-1.2982141886289174e218,0,1696
0,0,1696
-8.786542444850014e220,0,1696
0,0,1696
-2.211890025179257e218,0,1696
0,0,1696
-7.012962580982141e220,0,1696
0,0,1696
3.559363258909149e218,0,1696
0,0,1696
5.650723074532431e222,0,1696
0,0,1696
-8.959425803139887e219,0,1696
0,0,1696
1.9057034280385808e222,0,1696
0,0,1696
1.0071981061781774e221,0,1696
0,0,1696
6.431488727631844e223,0,1696
0,0,1696
1.4126807686331077e222,0,1696
0,0,1696
-1.5528879518530774e224,0,1696
0,0,1696
3.819217116028139e222,0,1696
0,0,1696
-2.367321032181172e225,0,1696
0,0,1696
-1.6557751096072915e223,0,1696
0,0,1696
-3.4315491358373927e226,0,1696
0,0,1696
-4.382076516495272e223,0,1696
0,0,1696
-1.4758433822246586e226,0,1696
0,0,1696
2.9258275144356268e224,0,1696
0,0,1696
-7.11817178108818e227,0,1696
0,0,1696
1.0636949232435673e225,0,1696
0,0,1696
3.275860455342595e226,0,1696
0,0,1696
5.395785776052581e225,0,1696
0,0,1696
-1.7296543204208902e229,0,1696
0,0,1696
8.547948375659584e226,0,1696
0,0,1696
-5.809192540807535e229,0,1696
0,0,1696
1.3581171471107842e227,0,1696
0,0,1696
2.65563087579773e229,0,1696
0,0,1696
-2.4732746437836592e228,0,1696
0,0,1696
-2.395658590061742e231,0,1696
0,0,1696
1.0155167411562044e229,0,1696
0,0,1696
-6.038065991287471e231,0,1696
0,0,1696
-8.735627880913586e227,0,1696
0,0,1696
-3.381316955120984e232,0,1696
0,0,1696
1.1531028802805934e230,0,1696
0,0,1696
-1.2308709339276385e233,0,1696
0,0,1696
3.4942511523654348e230,0,1696
0,0,1696
-7.728724468847963e232,0,1696
0,0,1696
7.603490507547185e231,0,1696
0,0,1696
-4.247935967322362e234,0,1696
0,0,1696
1.4938622526592707e232,0,1696
0,0,1696
-1.1358362478662488e235,0,1696
0,0,1696
1.7174943264106585e233,0,1696
0,0,1696
-5.935660392075235e235,0,1696
0,0,1696
-2.862490544017764e231,0,1696
0,0,1696
-3.4001807678060607e236,0,1696
0,0,1696
1.2709458015438872e234,0,1696
0,0,1696
-9.028066176588506e236,0,1696
0,0,1696
1.5571948559456635e234,0,1696
0,0,1696
-6.941058670831683e237,0,1696
0,0,1696
7.291335913722049e235,0,1696
0,0,1696
-5.402769992431148e238,0,1696
0,0,1696
1.5535308680493208e236,0,1696
0,0,1696
-2.146100302549039e239,0,1696
0,0,1696
2.567722717756991e237,0,1696
0,0,1696
-1.1585940094880127e240,0,1696
0,0,1696
1.0927477502052581e238,0,1696
0,0,1696
-4.634376037952051e240,0,1696
0,0,1696
2.4012311077471767e238,0,1696
0,0,1696
-1.8825651884737866e241,0,1696
0,0,1696
7.653924155944126e238,0,1696
0,0,1696
-9.06704866285334e241,0,1696
0,0,1696
3.721908217008124e239,0,1696
0,0,1696
-3.565347948783008e242,0,1696
0,0,1696
3.12160044007133e240,0,1696
0,0,1696
-2.5818036870497642e243,0,1696
0,0,1696
1.6040223799751142e241,0,1696
0,0,1696
-1.1605822288452274e244,0,1696
0,0,1696
3.0351561201924316e241,0,1696
0,0,1696
-3.6194428831783364e244,0,1696
0,0,1696
2.3973891379747814e242,0,1696
0,0,1696
-2.1716657299070018e245,0,1696
0,0,1696
7.069224381207689e242,0,1696
0,0,1696
-6.987098435352962e245,0,1696
0,0,1696
3.2456960637197038e243,0,1696
0,0,1696
-2.744481907940443e246,0,1696
0,0,1696
2.2228100315171305e244,0,1696
0,0,1696
-1.0272923104951383e247,0,1696
0,0,1696
6.688100979786056e244,0,1696
0,0,1696
-5.640036214483112e247,0,1696
0,0,1696
2.769660641040814e245,0,1696
0,0,1696
-1.5308669725025589e248,0,1696
0,0,1696
1.6114389184237463e246,0,1696
0,0,1696
-8.057194592118732e248,0,1696
0,0,1696
5.1868190186764335e246,0,1696
0,0,1696
-3.1455287687631527e249,0,1696
0,0,1696
1.772582810266121e247,0,1696
0,0,1696
-1.835751215868332e250,0,1696
0,0,1696
8.862914051330605e247,0,1696
0,0,1696
-6.064166937812243e250,0,1696
0,0,1696
3.512936842163767e248,0,1696
0,0,1696
-2.0791429501070543e251,0,1696
0,0,1696
1.5469813616867965e249,0,1696
0,0,1696
-8.316571800428217e251,0,1696
0,0,1696
5.208170584345548e249,0,1696
0,0,1696
-3.7490577640025615e252,0,1696
0,0,1696
1.8770040521799796e250,0,1696
0,0,1696
-1.2567264053980418e253,0,1696
0,0,1696
9.07562398856254e250,0,1696
0,0,1696
-4.7734481952934025e253,0,1696
0,0,1696
2.970204214438649e251,0,1696
0,0,1696
-1.9600707633771138e254,0,1696
0,0,1696
1.201282593395187e252,0,1696
0,0,1696
-8.110637641560472e254,0,1696
0,0,1696
5.3859703088487504e252,0,1696
0,0,1696
-2.568368586494149e255,0,1696
0,0,1696
1.710837627516662e253,0,1696
0,0,1696
-9.732765169872565e255,0,1696
0,0,1696
5.914006613637843e253,0,1696
0,0,1696
-4.152646472478961e256,0,1696
0,0,1696
2.1121452191563729e254,0,1696
0,0,1696
-1.2284912481083594e257,0,1696
0,0,1696
8.178226288573475e254,0,1696
0,0,1696
-4.4987003451855417e257,0,1696
0,0,1696
3.3794323506501966e255,0,1696
0,0,1696
-1.7994801380742167e258,0,1696
0,0,1696
1.1138609027743048e256,0,1696
0,0,1696
-5.647599202571387e258,0,1696
0,0,1696
3.720079131595736e256,0,1696
0,0,1696
-2.0154177546431225e259,0,1696
0,0,1696
1.3323074099203334e257,0,1696
0,0,1696
-7.530132270095183e259,0,1696
0,0,1696
4.6371218942681736e257,0,1696
0,0,1696
-2.941181074907766e260,0,1696
0,0,1696
1.7994801380742167e258,0,1696
0,0,1696
-7.654157978073222e260,0,1696
0,0,1696
6.2566540185349685e258,0,1696
0,0,1696
-3.203406857489904e261,0,1696
0,0,1696
1.9489754110834593e259,0,1696
0,0,1696
-9.978754104747311e261,0,1696
0,0,1696
6.2898751903148e259,0,1696
0,0,1696
-3.583279883068353e262,0,1696
0,0,1696
2.2324627436046895e260,0,1696
0,0,1696
-1.143020924725601e263,0,1696
0,0,1696
6.732824147379222e260,0,1696
0,0,1696
-3.3383468277700095e263,0,1696
0,0,1696
2.3245961266740895e261,0,1696
0,0,1696
-1.2047077682822209e264,0,1696
0,0,1696
7.087183313030761e261,0,1696
0,0,1696
-3.4834923420208797e264,0,1696
0,0,1696
2.131824740559653e262,0,1696
0,0,1696
-1.0566593437463334e265,0,1696
0,0,1696
7.620139498170674e262,0,1696
0,0,1696
-3.4370457774606014e265,0,1696
0,0,1696
2.3223282280139197e263,0,1696
0,0,1696
-1.1332961752707928e266,0,1696
0,0,1696
7.039557441167194e263,0,1696
0,0,1696
-3.8271969197669397e266,0,1696
0,0,1696
2.0610663023623536e264,0,1696
0,0,1696
