"C","S","n"
0.00028175863634998015,0,1500
0,0,1500
-0.000010565948863086711,0,1500
0,0,1500
0.000010763664181285395,0,1500
0,0,1500
-0.000010963576908480287,0,1500
0,0,1500
0.000011165700136199244,0,1500
0,0,1500
-0.000011370046855150415,0,1500
0,0,1500
0.000011576634852573686,0,1500
0,0,1500
-0.000011785463091291905,0,1500
0,0,1500
0.000011993740722736295,0,1500
0,0,1500
-0.000012209722993007205,0,1500
0,0,1500
0.00001167939290080354,0,1500
0,0,1500
-0.00001262032664967608,0,1500
0,0,1500
-0.000553049633776778,0,1500
0,0,1500
-4.320700263881078e-6,0,1500
0,0,1500
-0.08848794140428448,0,1500
0,0,1500
0.0033182978026606684,0,1500
0,0,1500
-4.530582599899366,0,1500
0,0,1500
0.28316141249371035,0,1500
0,0,1500
579.9145727871188,0,1500
0,0,1500
-36.244660799194925,0,1500
0,0,1500
445374.39190050727,0,1500
0,0,1500
-16237.608038039327,0,1500
0,0,1500
1.162427162860324e8,0,1500
0,0,1500
-5.502229466604183e6,0,1500
0,0,1500
1.6798334397442064e10,0,1500
0,0,1500
-6.650924252380908e8,0,1500
0,0,1500
2.1209987467249927e12,0,1500
0,0,1500
-9.39490557250606e10,0,1500
0,0,1500
2.839414102037715e14,0,1500
0,0,1500
-9.88502168198437e12,0,1500
0,0,1500
1.976630729278185e16,0,1500
0,0,1500
-7.57177093876724e14,0,1500
0,0,1500
2.326048032389296e18,0,1500
0,0,1500
-6.631277285320362e16,0,1500
0,0,1500
1.5670218323464733e20,0,1500
0,0,1500
-5.876331871299275e18,0,1500
0,0,1500
9.360343745216267e21,0,1500
0,0,1500
-3.760852397631536e20,0,1500
0,0,1500
4.70691571188018e23,0,1500
0,0,1500
-2.406945534484183e22,0,1500
0,0,1500
1.9169983990202914e25,0,1500
0,0,1500
-1.1125437137171334e24,0,1500
0,0,1500
1.0516105503197028e27,0,1500
0,0,1500
-8.215707424372678e25,0,1500
0,0,1500
1.2338897123751178e29,0,1500
0,0,1500
-3.154831650959108e27,0,1500
0,0,1500
1.5124754507858854e30,0,1500
0,0,1500
-8.184718802931371e28,0,1500
0,0,1500
-1.0204898887672417e32,0,1500
0,0,1500
-3.7297339936870107e30,0,1500
0,0,1500
6.43776348842116e32,0,1500
0,0,1500
2.1586339659042516e32,0,1500
0,0,1500
-4.7434202356124264e35,0,1500
0,0,1500
4.337548591808269e33,0,1500
0,0,1500
-3.4968618948874375e37,0,1500
0,0,1500
7.119724910020357e35,0,1500
0,0,1500
-1.5793159783058392e39,0,1500
0,0,1500
4.017921369974937e37,0,1500
0,0,1500
-1.3056080232476871e41,0,1500
0,0,1500
5.344682290739494e39,0,1500
0,0,1500
-2.5900179826492866e41,0,1500
0,0,1500
1.954076067266649e41,0,1500
0,0,1500
-1.5155305224187826e44,0,1500
0,0,1500
1.5811443113125644e43,0,1500
0,0,1500
-1.651928269436473e46,0,1500
0,0,1500
2.178575125977e44,0,1500
0,0,1500
-3.362457052406472e47,0,1500
0,0,1500
1.39428808062528e46,0,1500
0,0,1500
-1.7174396021522288e49,0,1500
0,0,1500
3.362457052406472e47,0,1500
0,0,1500
-8.872748209673202e50,0,1500
0,0,1500
5.379931283850355e48,0,1500
0,0,1500
-3.305429780797658e52,0,1500
0,0,1500
