coscoeff,sincoeff,highest_deg,epsilon,bchoice
0.0,-0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,1.7763568394002505e-15,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-9.059419880941277e-14,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,2.2666313270747196e-12,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-3.708322537931963e-11,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,4.461782054931973e-10,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-4.209852022540872e-9,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,3.243740565039843e-8,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-2.098677427397888e-7,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,1.163555804595262e-6,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-5.614100093254137e-6,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,2.3861331676755526e-5,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-9.021490107130603e-5,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.00030586400160359517,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.000936222910851825,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0026021714567221466,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.006600447966810918,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.015346677832630107,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.032839137564268484,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.06490864707227217,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.11892045255943628,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.20263875106454066,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.3222363203575469,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.47988766169832786,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.6718110337653656,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.887724827340783,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.887724827340783,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.6718110337653656,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.47988766169832786,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.3222363203575469,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.20263875106454066,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.11892045255943628,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.06490864707227217,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.032839137564268484,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.015346677832630107,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.006600447966810918,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0026021714567221466,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.000936222910851825,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.00030586400160359517,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-9.021490107130603e-5,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,2.3861331676755526e-5,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-5.614100093254137e-6,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,1.163555804595262e-6,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-2.098677427397888e-7,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,3.243740565039843e-8,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-4.209852022540872e-9,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,4.461782054931973e-10,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-3.708322537931963e-11,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,2.2666313270747196e-12,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-9.059419880941277e-14,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,1.7763568394002505e-15,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,0.0,63,1.0e-14,25
0.0,-0.0,63,1.0e-14,25
