"C","S","n"
-5.29160802742541e-7,0,282
0,0,282
3.730583659334967e-7,0,282
0,0,282
-5.031624710528926e-7,0,282
0,0,282
6.62258651473735e-7,0,282
0,0,282
-8.548073537895107e-7,0,282
0,0,282
1.0857438610401005e-6,0,282
0,0,282
-1.3601966202259064e-6,0,282
0,0,282
1.7285346984863281e-6,0,282
0,0,282
-3.159046173095703e-6,0,282
0,0,282
0.000244140625,0,282
0,0,282
-0.01171875,0,282
0,0,282
-0.375,0,282
0,0,282
16.,0,282
0,0,282
0,0,282
0,0,282
0,0,282
0,0,282
1.572864e6,0,282
0,0,282
6.7108864e7,0,282
0,0,282
4.10812416e8,0,282
0,0,282
-6.127878144e9,0,282
0,0,282
4.03726925824e11,0,282
0,0,282
6.52835028992e12,0,282
0,0,282
1.36339441844224e14,0,282
0,0,282
-7.0368744177664e14,0,282
0,0,282
-4.413527634823086e17,0,282
0,0,282
-1.5852670688344146e18,0,282
0,0,282
-3.2281802128991715e19,0,282
0,0,282
8.854437155380585e20,0,282
0,0,282
4.0140115104391984e22,0,282
0,0,282
7.555786372591432e22,0,282
0,0,282
6.044629098073146e24,0,282
0,0,282
5.80284393415022e25,0,282
0,0,282
2.4758800785707605e27,0,282
0,0,282
3.4662321099990648e28,0,282
0,0,282
9.50737950171172e29,0,282
0,0,282
1.2904765102992876e31,0,282
0,0,282
1.2695845985754132e32,0,282
0,0,282
1.6533186625095476e33,0,282
0,0,282
2.364093505001772e34,0,282
0,0,282
2.30678479780941e35,0,282
0,0,282
3.1302295926405205e36,0,282
0,0,282
2.972995599703262e37,0,282
0,0,282
3.146762304445203e38,0,282
0,0,282
2.6083762883692633e39,0,282
0,0,282
3.253999979731316e40,0,282
0,0,282
2.5796859405396176e41,0,282
0,0,282
2.286484829229381e42,0,282
0,0,282
1.4820658208874554e43,0,282
0,0,282
1.6780004077605318e44,0,282
0,0,282
7.552635190283613e44,0,282
0,0,282
6.021201203603268e45,0,282
0,0,282
5.976599713206207e45,0,282
0,0,282
2.85449538541192e45,0,282
0,0,282
-1.1332346680085321e48,0,282
0,0,282
-1.8131754688136514e49,0,282
0,0,282
-1.2970827031311763e50,0,282
0,0,282
-1.2861214408511946e51,0,282
0,0,282
-1.1972621413014757e52,0,282
0,0,282
-9.203952711255094e52,0,282
0,0,282
-6.7944626518858744e53,0,282
0,0,282
-4.3101437086853124e54,0,282
0,0,282
-2.9692101104276597e55,0,282
0,0,282
-1.6780826172481483e56,0,282
0,0,282
-1.1340467002407578e57,0,282
0,0,282
-5.418904232501783e57,0,282
0,0,282
-3.236630582308757e58,0,282
0,0,282
-1.6163536968620703e59,0,282
0,0,282
-7.846377169233351e59,0,282
0,0,282
-3.816477855115102e60,0,282
0,0,282
-1.647111495365465e61,0,282
0,0,282
-6.668792883571114e61,0,282
0,0,282
-2.699655912876411e62,0,282
0,0,282
-8.741742856046865e62,0,282
0,0,282
-1.9540361707340124e63,0,282
0,0,282
4.113932931958356e62,0,282
0,0,282
2.797405353145638e64,0,282
0,0,282
2.764556989464247e65,0,282
0,0,282
1.9748191915744294e66,0,282
0,0,282
1.0324234409203882e67,0,282
0,0,282
4.9761810716389706e67,0,282
0,0,282
2.282032968269377e68,0,282
0,0,282
1.0130673181844746e69,0,282
0,0,282
4.194816473695365e69,0,282
0,0,282
1.6613522587491998e70,0,282
0,0,282
6.385694330957503e70,0,282
0,0,282
2.4287504890171764e71,0,282
0,0,282
8.565717866353206e71,0,282
0,0,282
3.0347376326061882e72,0,282
0,0,282
1.0370673409722919e73,0,282
0,0,282
3.3411450596285136e73,0,282
0,0,282
1.0989375317128956e74,0,282
0,0,282
3.394920262459753e74,0,282
0,0,282
1.033757950361803e75,0,282
0,0,282
3.071743180737905e75,0,282
0,0,282
8.899769724173839e75,0,282
0,0,282
2.510107749861072e76,0,282
0,0,282
6.905068138509688e76,0,282
0,0,282
1.860226917691966e77,0,282
0,0,282
4.874976523047385e77,0,282
0,0,282
1.2438099654700483e78,0,282
0,0,282
3.1028888255412503e78,0,282
0,0,282
7.582991889076397e78,0,282
0,0,282
1.8079469626559253e79,0,282
0,0,282
4.179554105798861e79,0,282
0,0,282
9.460099107313549e79,0,282
0,0,282
2.0928022145680318e80,0,282
0,0,282
4.4715002215938295e80,0,282
0,0,282
9.440391476949986e80,0,282
0,0,282
1.9172420681535985e81,0,282
0,0,282
3.799509340519598e81,0,282
0,0,282
7.36749472129529e81,0,282
0,0,282
1.3825490483726514e82,0,282
0,0,282
2.529690208828387e82,0,282
0,0,282
4.5252798244380205e82,0,282
0,0,282
7.761465518310575e82,0,282
0,0,282
1.292865057766259e83,0,282
0,0,282
2.0858555123673076e83,0,282
0,0,282
3.2649818251808856e83,0,282
0,0,282
4.86537195030861e83,0,282
0,0,282
6.98772108764687e83,0,282
0,0,282
9.571375503049516e83,0,282
0,0,282
1.2250616878385834e84,0,282
0,0,282
1.4496402196625595e84,0,282
0,0,282
1.5560679167815337e84,0,282
0,0,282
1.2942757967485921e84,0,282
0,0,282
4.818663296347034e83,0,282
0,0,282
-1.4174449348581675e84,0,282
0,0,282
-4.750958894647384e84,0,282
0,0,282
-1.0062484416047812e85,0,282
0,0,282
-1.8181830706902272e85,0,282
0,0,282
-2.950752453177579e85,0,282
0,0,282
-4.49832666270548e85,0,282
0,0,282
-6.460040780131564e85,0,282
0,0,282
-8.828882352582355e85,0,282
0,0,282
