coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,0.0,1797,1.0e-14,650
0.0,-0.0,1797,1.0e-14,650
-0.0,0.0,1797,1.0e-14,650
