coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
0.0,-0.0,2341,1.0e-14,850
-0.0,0.0,2341,1.0e-14,850
0.0,0.0,2341,1.0e-14,850
