coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,0.0,1389,1.0e-14,500
0.0,-0.0,1389,1.0e-14,500
-0.0,0.0,1389,1.0e-14,500
